candidate_id,rank,score,reasoning
CAND_0018499,1,0.989,"Notably, Brings Learning To Rank, Qlora experience. 7 years of experience, currently Senior Machine Learning Engineer at Zomato."
CAND_0052328,2,0.9781,"Brings Fine-Tuning Llms, Learning To Rank experience, complemented by Stanford University graduate (Tier-1)."
CAND_0027691,3,0.9766,"Notably, Built retrieval-based systems at Vedantu. Previously Applied ML Engineer at Vedantu; Previously NLP Engineer at Haptik."
CAND_0039754,4,0.9678,"Notably, Brings Fine-Tuning Llms experience. Previously Senior Applied Scientist at Meta; 8 years of experience, currently Senior Applied Scientist at Meta."
CAND_0007009,5,0.9659,"Previously Recommendation Systems Engineer at Wysa, complemented by Brings Learning To Rank, Lora experience."
CAND_0041669,6,0.9607,"8 years of experience, currently Recommendation Systems Engineer at CRED, complemented by Brings Peft, Qlora experience and Core JD skills: Weaviate, Qdrant, Milvus, Faiss."
CAND_0039383,7,0.9587,"Notably, Profile headline: ""Applied ML Engineer | Applied ML | Building intelligent products"". Core JD skills: Faiss, Recommendation Systems, Vector Search, Nlp; Previously Applied ML Engineer at Meesho."
CAND_0011687,8,0.9585,"Brings Peft experience. Additionally, Profile headline: ""Senior NLP Engineer | Production ML at scale | 7.8+ yrs"" — Core JD skills: Weaviate, Faiss, Embeddings, Opensearch."
CAND_0002025,9,0.9574,"Strong fit for the Senior AI Engineer role — Built embedding-based systems at Apple; Previously Senior AI Engineer at Apple; 6 years of experience, currently Senior AI Engineer at Apple."
CAND_0081846,10,0.957,"IIT Hyderabad graduate (Tier-1). Additionally, Core JD skills: Qdrant, Embeddings, Information Retrieval, Recommendation Systems."
CAND_0068351,11,0.9568,"Notably, Core JD skills: Qdrant, Nlp, Elasticsearch, Python. IIIT Bangalore graduate (Tier-1); Previously Lead AI Engineer at Sarvam AI."
CAND_0037566,12,0.9566,"Strong fit for the Senior AI Engineer role — Previously Machine Learning Engineer at Paytm; Core JD skills: Pinecone, Nlp, Elasticsearch. Note: matches 3 core JD skills — fewer than top-ranked candidates."
CAND_0014440,13,0.9565,"Previously Recommendation Systems Engineer at CRED; Core JD skills: Qdrant, Milvus, Faiss, Elasticsearch; Built ranking-based systems at CRED."
CAND_0066999,14,0.9547,"Previously Recommendation Systems Engineer at Microsoft. Additionally, Core JD skills: Pinecone, Faiss, Embeddings, Information Retrieval — IIIT Bangalore graduate (Tier-1)."
CAND_0010257,15,0.9546,Strong fit for the Senior AI Engineer role — Previously Search Engineer at PharmEasy; Built embedding-based systems at Google; Previously Senior Data Scientist at Google. Concern: 120-day notice period exceeds JD's preferred 30-day window.
CAND_0050876,16,0.9544,"Stanford University graduate (Tier-1); Previously Applied ML Engineer at Freshworks; 6 years of experience, currently Applied ML Engineer at Freshworks."
CAND_0068811,17,0.9542,"Previously Applied ML Engineer at Freshworks. Additionally, 8 years of experience, currently Applied ML Engineer at Freshworks — Previously AI Engineer at Yellow.ai. Note: 42% recruiter response rate may indicate limited availability."
CAND_0079387,18,0.9533,"Notably, IIIT Hyderabad graduate (Tier-1). Built embedding-based systems at Microsoft; Core JD skills: Sentence Transformers, Recommendation Systems, Vector Search, Opensearch."
CAND_0091909,19,0.9491,"Core JD skills: Pinecone, Qdrant, Sentence Transformers, Opensearch, complemented by Built embedding-based systems at Rephrase.ai and Brings Learning To Rank, Qlora experience."
CAND_0061265,20,0.9481,"Notably, Previously Senior Data Scientist at Observe.AI. Built retrieval-based systems at Zoho; 7 years of experience, currently Recommendation Systems Engineer at Zoho. Concern: 120-day notice period exceeds JD's preferred 30-day window."
CAND_0042029,21,0.9472,"Previously Machine Learning Engineer at Observe.AI, complemented by Brings Learning To Rank experience and Profile headline: ""Senior Data Scientist | Search, Ranking & Retrieval""."
CAND_0050454,22,0.9468,"Notably, Built retrieval-based systems at Rephrase.ai. Previously AI Engineer at Rephrase.ai; Brings Fine-Tuning Llms, Lora experience. Note: matches 3 core JD skills — fewer than top-ranked candidates."
CAND_0087630,23,0.9466,"Built embedding-based systems at Vedantu; Profile headline: ""AI Engineer | Applied ML | Building intelligent products""; Previously Applied ML Engineer at Haptik. Note: 45% recruiter response rate may indicate limited availability."
CAND_0043228,24,0.9426,"Built ranking-based systems at Zoho, complemented by Previously Applied ML Engineer at Zoho. Note: 41% recruiter response rate may indicate limited availability."
CAND_0006418,25,0.941,"Stanford University graduate (Tier-1). Additionally, Previously Machine Learning Engineer at Verloop.io — Brings Learning To Rank experience."
CAND_0086022,26,0.9396,"Brings Fine-Tuning Llms, Lora experience; Stanford University graduate (Tier-1); Previously Senior Applied Scientist at Sarvam AI."
CAND_0041610,27,0.9375,"Core JD skills: Embeddings, Recommendation Systems, Opensearch, Elasticsearch, complemented by Previously Recommendation Systems Engineer at Zoho and Previously Applied ML Engineer at Observe.AI."
CAND_0018549,28,0.9374,"Previously Recommendation Systems Engineer at Uber, complemented by Core JD skills: Weaviate, Qdrant, Milvus, Opensearch and Built ranking-based systems at Uber."
CAND_0077337,29,0.9372,Previously Senior NLP Engineer at Razorpay; Brings Qlora experience.
CAND_0000031,30,0.9347,"Strong fit for the Senior AI Engineer role — Core JD skills: Pinecone, Faiss, Sentence Transformers, Embeddings; Previously Recommendation Systems Engineer at Swiggy; Profile headline: ""Recommendation Systems Engineer | Search, Ranking & Retrieval""."
CAND_0045250,31,0.9345,"Strong fit for the Senior AI Engineer role — Core JD skills: Qdrant, Milvus, Sentence Transformers, Embeddings; 7 years of experience, currently Applied ML Engineer at Rephrase.ai; Brings Lora, Peft experience."
CAND_0071974,32,0.9339,Strong fit for the Senior AI Engineer role — NIT Warangal graduate (Tier-1); Previously Senior AI Engineer at Netflix; Built embedding-based systems at Netflix.
CAND_0044222,33,0.9335,"Previously AI Engineer at InMobi; Profile headline: ""AI Engineer | ML, NLP, Recommendation Systems""; Core JD skills: Weaviate, Qdrant, Vector Search, Nlp."
CAND_0011162,34,0.9303,"Core JD skills: Pinecone, Weaviate, Milvus, Faiss. Additionally, Profile headline: ""Recommendation Systems Engineer | ML, NLP, Recommendation Systems"" — Brings Lora, Peft experience."
CAND_0093912,35,0.9302,"Notably, Profile headline: ""Senior Data Scientist | Search, Ranking & Retrieval"". Previously Search Engineer at Flipkart; Core JD skills: Milvus, Embeddings, Recommendation Systems, Vector Search."
CAND_0027801,36,0.9287,"Notably, Previously Machine Learning Engineer at Zoho. Previously NLP Engineer at InMobi; Built retrieval-based systems at Zoho. Concern: 120-day notice period exceeds JD's preferred 30-day window."
CAND_0049538,37,0.9282,"Strong fit for the Senior AI Engineer role — Previously Applied ML Engineer at Saarthi.ai; Previously Recommendation Systems Engineer at PolicyBazaar; Core JD skills: Milvus, Embeddings, Recommendation Systems, Vector Search."
CAND_0055992,38,0.9271,"Strong fit for the Senior AI Engineer role — 7 years of experience, currently AI Engineer at CRED; Core JD skills: Milvus, Faiss, Embeddings, Information Retrieval. Note: located outside India — JD states no visa sponsorship."
CAND_0060054,39,0.9271,"Strong fit for the Senior AI Engineer role — Profile headline: ""AI Engineer | ML, NLP, Recommendation Systems""; 6 years of experience, currently AI Engineer at Mad Street Den."
CAND_0015528,40,0.927,Previously Senior Data Scientist at Locobuzz; Built embedding-based systems at Krutrim.
CAND_0064326,41,0.9266,"Notably, Previously Machine Learning Engineer at Aganitha. Built ranking-based systems at Sarvam AI. Note: matches 3 core JD skills — fewer than top-ranked candidates."
CAND_0051004,42,0.9255,"Notably, Brings Fine-Tuning Llms, Lora experience. Core JD skills: Qdrant, Embeddings, Vector Search. Note: 41% recruiter response rate may indicate limited availability."
CAND_0008425,43,0.9252,"Core JD skills: Qdrant, Sentence Transformers, Information Retrieval, Recommendation Systems; Previously Senior NLP Engineer at Ola; Built embedding-based systems at Ola."
CAND_0052682,44,0.924,"Brings Fine-Tuning Llms, Qlora experience, complemented by Previously NLP Engineer at Aganitha and Core JD skills: Faiss, Embeddings, Python. Note: matches 3 core JD skills — fewer than top-ranked candidates."
CAND_0075574,45,0.9236,"Core JD skills: Weaviate, Qdrant, Recommendation Systems, Vector Search. Additionally, Carnegie Mellon University graduate (Tier-1) — 6 years of experience, currently Machine Learning Engineer at Haptik."
CAND_0020877,46,0.9233,"Built retrieval-based systems at CRED. Additionally, Stanford University graduate (Tier-1)."
CAND_0076163,47,0.922,"Strong fit for the Senior AI Engineer role — Profile headline: ""NLP Engineer | Applied ML | Building intelligent products""; Core JD skills: Weaviate, Sentence Transformers, Opensearch, Elasticsearch."
CAND_0094056,48,0.9217,"Notably, Previously Recommendation Systems Engineer at Adobe. Built retrieval-based systems at Rephrase.ai; 6 years of experience, currently NLP Engineer at Rephrase.ai. Concern: 120-day notice period exceeds JD's preferred 30-day window."
CAND_0015578,49,0.9204,"Profile headline: ""AI Engineer | ML, NLP, Recommendation Systems""; Previously Search Engineer at Glance."
CAND_0036184,50,0.9202,"Brings Qlora experience. Additionally, 6 years of experience, currently Recommendation Systems Engineer at CRED — Previously Recommendation Systems Engineer at CRED."
CAND_0069905,51,0.9201,"Previously Machine Learning Engineer at Nykaa, complemented by 7 years of experience, currently Applied ML Engineer at Sarvam AI and Core JD skills: Weaviate, Sentence Transformers, Recommendation Systems, Python."
CAND_0080766,52,0.9201,"Core JD skills: Milvus, Natural Language Processing, Opensearch, Elasticsearch. Additionally, 9 years of experience, currently Staff Machine Learning Engineer at Salesforce — Previously Staff Machine Learning Engineer at Aganitha."
CAND_0028793,53,0.9199,"Strong fit for the Senior AI Engineer role — Brings Learning To Rank, Lora experience; Built retrieval-based systems at Google; 7 years of experience, currently Search Engineer at Google. Note: matches 3 core JD skills — fewer than top-ranked candidates."
CAND_0009691,54,0.9188,"Built embedding-based systems at LinkedIn; Profile headline: ""Applied ML Engineer | ML, NLP, Recommendation Systems"". Concern: 120-day notice period exceeds JD's preferred 30-day window."
CAND_0055905,55,0.9188,"Brings Fine-Tuning Llms experience; Previously Senior Machine Learning Engineer at Flipkart; 8 years of experience, currently Senior Machine Learning Engineer at Flipkart. Note: located outside India — JD states no visa sponsorship."
CAND_0099806,56,0.9183,"Core JD skills: Weaviate, Qdrant, Faiss, Sentence Transformers; Previously Machine Learning Engineer at upGrad; Previously AI Engineer at Mad Street Den."
CAND_0005260,57,0.9166,"Strong fit for the Senior AI Engineer role — 5 years of experience, currently Senior NLP Engineer at Netflix; Built embedding-based systems at Yellow.ai."
CAND_0047721,58,0.916,"Notably, Previously NLP Engineer at Observe.AI. Profile headline: ""Senior Data Scientist | ML, NLP, Recommendation Systems""; Built embedding-based systems at Microsoft. Note: 49% recruiter response rate may indicate limited availability."
CAND_0088025,59,0.916,"Notably, Brings Learning To Rank, Lora experience. Built embedding-based systems at Yellow.ai."
CAND_0020350,60,0.9148,"Strong fit for the Senior AI Engineer role — Core JD skills: Faiss, Sentence Transformers, Vector Search, Nlp; Previously AI Engineer at Zoho."
CAND_0029367,61,0.9147,"Built retrieval-based systems at Rephrase.ai; Brings Qlora experience; Core JD skills: Pinecone, Faiss, Sentence Transformers, Recommendation Systems."
CAND_0054123,62,0.9147,"Core JD skills: Weaviate, Qdrant, Vector Search, Python, complemented by Previously Applied ML Engineer at Meta."
CAND_0094759,63,0.914,"Strong fit for the Senior AI Engineer role — Built embedding-based systems at Meta; Previously Lead AI Engineer at Meta; 9 years of experience, currently Lead AI Engineer at Meta. Note: 11% recruiter response rate may indicate limited availability."
CAND_0083307,64,0.9134,"Previously Machine Learning Engineer at Netflix, complemented by Previously Search Engineer at CRED. Concern: 120-day notice period exceeds JD's preferred 30-day window."
CAND_0044855,65,0.9122,"7 years of experience, currently Senior Data Scientist at Flipkart. Additionally, Brings Learning To Rank, Qlora experience — Previously Recommendation Systems Engineer at LinkedIn."
CAND_0030031,66,0.9121,"Strong fit for the Senior AI Engineer role — Profile headline: ""AI Engineer | ML, NLP, Recommendation Systems""; IIT Bombay graduate (Tier-1)."
CAND_0072660,67,0.9119,"Notably, 7 years of experience, currently Machine Learning Engineer at Unacademy. Massachusetts Institute of Technology graduate (Tier-1). Note: located outside India — JD states no visa sponsorship."
CAND_0066376,68,0.911,"Previously Applied ML Engineer at Dream11, complemented by Previously Senior Data Scientist at Salesforce and Built embedding-based systems at Dream11."
CAND_0062247,69,0.9107,"7 years of experience, currently AI Engineer at Google. Additionally, Previously NLP Engineer at Dream11 — Profile headline: ""AI Engineer | ML, NLP, Recommendation Systems""."
CAND_0036437,70,0.9103,"5 years of experience, currently Search Engineer at Rephrase.ai; Previously Machine Learning Engineer at Nykaa."
CAND_0006557,71,0.91,"Strong fit for the Senior AI Engineer role — Previously NLP Engineer at Paytm; Built ranking-based systems at Paytm; Core JD skills: Pinecone, Weaviate, Qdrant, Faiss. Concern: 120-day notice period exceeds JD's preferred 30-day window."
CAND_0009024,72,0.9097,"Profile headline: ""Search Engineer | Applied ML | Building intelligent products"", complemented by 5 years of experience, currently Search Engineer at Google and Previously Applied ML Engineer at Aganitha. Note: 46% recruiter response rate may indicate limited availability."
CAND_0046353,73,0.9084,"Notably, Previously ML Engineer at Razorpay. 6 years of experience, currently ML Engineer at Razorpay; UC Berkeley graduate (Tier-1). Concern: 120-day notice period exceeds JD's preferred 30-day window."
CAND_0087364,74,0.9078,"Profile headline: ""Recommendation Systems Engineer | Search, Ranking & Retrieval"". Additionally, Previously Recommendation Systems Engineer at Glance — 5 years of experience, currently Recommendation Systems Engineer at Glance. Note: 48% recruiter response rate may indicate limited availability."
CAND_0096172,75,0.9065,"Strong fit for the Senior AI Engineer role — Carnegie Mellon University graduate (Tier-1); Profile headline: ""NLP Engineer | Applied ML | Building intelligent products"". Note: 47% recruiter response rate may indicate limited availability."
CAND_0007411,76,0.9043,"Notably, 8 years of experience, currently Senior Machine Learning Engineer at Amazon. Profile headline: ""Senior Machine Learning Engineer | Production ML at scale | 8.0+ yrs""; Core JD skills: Pinecone, Information Retrieval, Vector Search, Opensearch. Note: 12% recruiter response rate may indicate limited availability."
CAND_0061175,77,0.9043,"Previously Junior ML Engineer at Mad Street Den, complemented by 7 years of experience, currently AI Research Engineer at Haptik. Concern: 120-day notice period exceeds JD's preferred 30-day window."
CAND_0046064,78,0.9041,"Notably, Built embedding-based systems at Verloop.io. IIT Hyderabad graduate (Tier-1); Previously Lead AI Engineer at Verloop.io."
CAND_0096142,79,0.9022,Strong fit for the Senior AI Engineer role — Previously Applied ML Engineer at BYJU'S; Brings Lora experience. Concern: 120-day notice period exceeds JD's preferred 30-day window.
CAND_0081686,80,0.9016,"Brings Qlora experience; Profile headline: ""Search Engineer | Applied ML | Building intelligent products""; 6 years of experience, currently Search Engineer at Netflix. Note: located outside India — JD states no visa sponsorship."
CAND_0032216,81,0.9008,"Profile headline: ""ML Engineer | Building ML-powered solutions""; Core JD skills: Qdrant, Sentence Transformers, Information Retrieval, Vector Search; Previously ML Engineer at upGrad. Note: 35% recruiter response rate may indicate limited availability."
CAND_0061655,82,0.8996,"Strong fit for the Senior AI Engineer role — Previously Machine Learning Engineer at Krutrim; Core JD skills: Pinecone, Qdrant, Nlp, Opensearch; Previously Recommendation Systems Engineer at Google."
CAND_0077285,83,0.8995,"Notably, Previously Applied ML Engineer at Netflix. Brings Fine-Tuning Llms, Lora experience."
CAND_0079284,84,0.8984,"Brings Fine-Tuning Llms, Qlora experience, complemented by Core JD skills: Qdrant, Recommendation Systems, Nlp, Elasticsearch and 5 years of experience, currently Machine Learning Engineer at Google."
CAND_0037944,85,0.8974,"Strong fit for the Senior AI Engineer role — Previously Senior Data Scientist at Vedantu; Previously Applied ML Engineer at PolicyBazaar; Brings Peft, Qlora experience. Note: 42% recruiter response rate may indicate limited availability."
CAND_0019159,86,0.8969,"Brings Peft experience. Additionally, 6 years of experience, currently ML Engineer at Genpact AI — Built nlp-based systems at Krutrim. Note: located outside India — JD states no visa sponsorship."
CAND_0070398,87,0.8968,"Notably, Previously Applied ML Engineer at Uber. IIT Kharagpur graduate (Tier-1); Core JD skills: Faiss, Embeddings, Information Retrieval, Recommendation Systems. Concern: 120-day notice period exceeds JD's preferred 30-day window."
CAND_0051292,88,0.8956,"Previously Search Engineer at Vedantu, complemented by Previously Applied ML Engineer at Freshworks and Profile headline: ""Applied ML Engineer | Applied ML | Building intelligent products""."
CAND_0024620,89,0.8949,"Notably, 6 years of experience, currently AI Engineer at PharmEasy. Previously AI Engineer at PharmEasy; Core JD skills: Information Retrieval, Recommendation Systems, Elasticsearch, Python. Note: located outside India — JD states no visa sponsorship."
CAND_0075249,90,0.8946,"Previously Applied ML Engineer at Zomato; Core JD skills: Pinecone, Milvus, Sentence Transformers. Note: matches 3 core JD skills — fewer than top-ranked candidates."
CAND_0042100,91,0.8941,"Notably, Previously Machine Learning Engineer at Freshworks. Previously Senior Data Scientist at Netflix; Core JD skills: Pinecone, Recommendation Systems, Elasticsearch. Note: located outside India — JD states no visa sponsorship."
CAND_0095619,92,0.8938,"Strong fit for the Senior AI Engineer role — Built ranking-based systems at Nykaa; Brings Fine-Tuning Llms, Learning To Rank experience."
CAND_0046525,93,0.8925,"Notably, IIT Hyderabad graduate (Tier-1). 6 years of experience, currently Senior Machine Learning Engineer at Genpact AI."
CAND_0033861,94,0.8924,"Notably, IIT Madras graduate (Tier-1). Previously Senior NLP Engineer at Sarvam AI; Built embedding-based systems at Sarvam AI. Note: 16% recruiter response rate may indicate limited availability."
CAND_0095528,95,0.891,"Previously Recommendation Systems Engineer at Adobe. Additionally, Built embedding-based systems at Netflix."
CAND_0089552,96,0.8903,"Previously Recommendation Systems Engineer at Mad Street Den; Profile headline: ""Machine Learning Engineer | Applied ML | Building intelligent products""; Brings Fine-Tuning Llms experience. Note: 49% recruiter response rate may indicate limited availability."
CAND_0026532,97,0.8872,"Georgia Tech graduate (Tier-1); Profile headline: ""Recommendation Systems Engineer | Search, Ranking & Retrieval""; 5 years of experience, currently Recommendation Systems Engineer at Zomato."
CAND_0053591,98,0.8868,"Notably, Previously AI Engineer at Swiggy. Core JD skills: Qdrant, Milvus, Sentence Transformers, Embeddings; 5 years of experience, currently AI Engineer at Ola. Note: located outside India — JD states no visa sponsorship."
CAND_0064904,99,0.886,"Built embedding-based systems at Freshworks. Additionally, Core JD skills: Weaviate, Embeddings, Recommendation Systems, Vector Search — 5 years of experience, currently AI Engineer at LinkedIn."
CAND_0060257,100,0.8855,Strong fit for the Senior AI Engineer role — Previously AI Research Engineer at CRED; Previously AI Specialist at Paytm.
